utterance,intent
"you're not helping, I need help talking to a person",0
I need help contacting a human agent,0
"youre not helping, how do i speak with someoone?",0
"I don't understand you, can you speak with a human?",0
I do not understand you and I'd like to contact a person,0
"you aren't helping, I need help contacting a human agent",0
I cannot understand you and I'd like to talk to a person,0
"you arent helping, can u speak with a human?",0
"i cant understand you, how could i speak with an fucking person?",0
"you aren't helping, how can I contact a person?",0
"please, contact someone",0
"I don't understand you , contact someone",0
how can I talk to a person?,0
"you're not helping ane I want to talk to a human, please",0
youre not helping and i want to contact a human agent,0
"you aren't helping, how do I contact fucking someone?",0
"I don't understand you, what can I do to talk to someone?",0
"I don't understand you, what should I do to contact a human agent?",0
"I can't understand you, I need help speaking with a human agent",0
"you aren't helping, help me talk to a person",0
you arent helping and i want to speak with someone,0
"youre not helping, what should i do to talk to a human?",0
"you aren't helping, what do I have to do to talk to a human?",0
"I can't understand you, what do I have to do to speak with a person?",0
"I don't understand you, what do I have to do to speak with a human agent?",0
you aren't helping and I want to contact a person,0
"u are not helping, what can i do to talk to a human?",0
i need help talking to a person,0
i dont understand you and i wanna speak with a human,0
can I contact a human?,0
"you aren't helping, what can I do to speak with someone?",0
"I don't understand you, can you talk to a human?",0
"I can't understand you, can you contact a person?",0
"I can't understand you , help me talk to a human",0
"I can't understand you, can I speak with someone?",0
"you arent helping, could i contact someone, please?",0
i want to speak with a person,0
"I don't understand you, help me contact a human agent",0
I want to talk to a human agent,0
how to speak with someone,0
"you aren't helping, how do I speak with a fucking human agent?",0
"I can't understand you, I need help speaking with someone",0
"I cannot understtand you and I want to talk to someone, please",0
youre not helping and i wanmt to talk to a humn agent,0
"you aren't helping, talk to a person",0
"youre not helping, how do i contact a person?",0
"youre not helping, can i talk to a human?",0
speak with a human,0
"you're not helping , how do I contact a person?",0
how can i talk to a human?,0
"you aren't helping, I need help speaking with someone",0
I want to know if there is someone available,0
help me speak with a human agent,0
"you aren't helping, what do I have to do to talk to a human agent?",0
"you aren't helping , how can I speak with a hman agent?",0
"I can't understand you, I need help talking to a human agent",0
"you arne't helping, what do I have to do to contact someone?",0
"I don't understand you, help me talk to a person",0
"you arent helping, what can i do to contact someone?",0
"I can't understand you, I need help talking to someone",0
"you aren't helping, what should I do to speak with a person?",0
"you aren't helping, can I speak with somneone?",0
"I can't understand you, what can I do to speak with a person?",0
"I don't understand you, what can I do to contact a human?",0
"i cant understand you, i need help talking to a human",0
how can I speak with a human agent?,0
can I contact a person?,0
"I don't understand you, what do I have to do to speak with someone?",0
"I don't understand you , speak with a human agent",0
"I don't undersatnd you, could I speak with fucking sopmeone?",0
I can't understand you and I want to speak with a human agent,0
"I don't understand you, what do I have to do to contact a person?",0
"you're not helping and I want to contact a human, please",0
"you arent helping, contact someone",0
"you aren't helping, what do I have to do to talk to a person?",0
I need help talking to a human,0
"I don't understand you, talk to someone",0
"I don't understand you, help me speak with someone",0
u are not helping and i want to speak with a human,0
youre not helping and i wanna talk to a human agent,0
"I can't understand you, help me contact a human agent",0
"I can't understand you, contact a human agent",0
"youre not helping, what should i do to contact a person?",0
"i cant understand you and i wanna speak with a fucking human agent, please",0
how do I talk to a person?,0
"i cant understand you, how could i speak with a human?",0
is there any person available?,0
I can't understand you and I want to contact someone,0
can you speakwith a human?,0
"you're not helping, what do I have to do to talk to a human agent?",0
"I can't understand you, what should I do to contact someone?",0
"I can't understand you, how do I talk to a person?",0
"I can't understand you , talk to a person",0
"u are not helping, what can i do to talk to a person?",0
can I talk to a human?,0
"i dont understand you, what should i doto speak with a person?",0
you aren't helping and I want to speak with a human agent,0
"i dont understand you, what can i do to talk to a human?",0
"you're not helping, how do I contact a human agent?",0
"you arent helping, what should i do to talk to a person?",0
i want to pseak with a human gaent,0
"you aren't helping, what do I have to do to contact a human agent?",0
"you arent helping, contact someone, please",0
"i dont understand you, can u galk to a person?",0
"youre not helping and id like to talk to a fucking human agent, lease",0
"youre not helping, what do i have to do to contact a person?",0
"I can't understand you, how can I contact someone?",0
"you're not helping, how do I talk to someone?",0
"I can't understand you, what should I do to talk to a human agent?",0
"i cant nuderstand you, i nered help speaking with a human agent",0
can you talk to a human agent?,0
can you tell me if there issomeone available?,0
help me talk to a human,0
"you're not helping, what can I do to contact a person?",0
i want to contact someone,0
"I don't understand you, can you contact someone?",0
"you're not helping, what should I do to talk to a person?",0
"you're not helping, what do I have to do to speak with a human agent?",0
"you're not helping, can Italk to a person?",0
"I don'tunderstand you, can I contact a person ?",0
"you're not helping, I need help speaking with a human",0
"you aren't helping, can you speak with a person?",0
can u speak with a human?,0
"I cannot understand you, could you speak with a human, please?",0
"I don't understand you, how can I talk to a human agent?",0
"you're not helping, help me speak with a person",0
"I can't understand you, can I speak with a human?",0
"I can't understand you, I need help contacting a human agent",0
"you arent helping, can u talk to a human?",0
"youre not helping, what do i have to do to talk to a human?",0
I don't understand you and I want to talk to someone,0
"you aren't helping, what should I do to contact a person?",0
"i dont understand you, how do i talk to a human agent?",0
"I don't understand you, how do I speak with a human?",0
"you're not helping, speak with someone",0
"I can't understand you, what should I do to talk to a human?",0
can I speak with a person?,0
"i dont understand you, speak with a person",0
can you contact a human agent?,0
"I can't understand you, what do I have to do to contact a human agent?",0
"you're not helping, help me talk to a human agent",0
help me talk to someone,0
"u are not helping, help me contact someone",0
i wanna speak with someone,0
you arre't helping,0
"I can't understand you, how do I speak with a human?",0
"you aren't helping, can I speak with a person?",0
"you're not helping, what can I do to contact someone?",0
"I can't understand you , I need help speaking with a human",0
"you're not helping, can you talk to a person?",0
"i dont understand you, can ui speak with a person?",0
"I don't understand you, can you contact a human agent?",0
"I don't understand you, how do I speak with a person?",0
"you're not helping, can I contact a human, please?",0
"I don't understand you, what can I do to speak with a person?",0
"you arent helping, i need help talking to a person",0
"i dont understand you, what do i have to do to speak with a human?",0
"I do not understand you, could you contact a person?",0
"Idon't understand you, can I contact a human?",0
"you're not helping, help me contact a human",0
I need help contacting a human,0
"I don't understand you, what can I do to contact a person?",0
"I can't understand you, contact someone",0
"you aren't helping, help me speak with someone, please",0
"you arent helping, how can i speak with a human agent?",0
could you tell me if there is any human available?,0
"you aren't helping, what do I have to do to speak with a human?",0
"you're not helping, I need help speaking with a human agent",0
I need help speaking wiht a human,0
"I can't understand you, what can I do to contact a human ?",0
"youre not helping, can u talk to a human?",0
I want to talk to a person,0
"i dont understand you, talk to a human agent",0
"i dont understand you, can u speak with a human?",0
"you aren't helping, talk to a human agent",0
"your not helping, what do I have to do to speak with someone?",0
"you're not helping, can I talk to a human agent?",0
"I can't understand you, what can I do to atlk to a human agent?",0
"I can't understand you, what do I have to do to speak with a human agent?",0
"you're not helping, how can I speak with a human agent?",0
"I can't understand you, I need help speaking with a person",0
you aren't helping and I want to speak with a human,0
"I can't understand you, talk to a human",0
"I can't understand you, what should I do to speak with a human?",0
how can I contact a human?,0
"you aren't helping, how can I contact a human?",0
"i cant understand you, how do i contact a person?",0
"youre not helping, what should i do to speak with someone?",0
"i dont understand you, i need help speaking with an persson",0
how do I talk to a human?,0
"you aren't helping, can you talk to a person?",0
"I cannot understand you and I would like to talk to a human agent, please",0
"you're not helping, could I talk to a person?",0
csn you contact a human?,0
"I don't understand you, could you talk to a person?",0
"you aren't helping, speak with someone",0
"youre not helping, how can i contact a human?",0
I need helop talking to a person,0
"i cant understand you, can u speak with a human agent?",0
"you aren't helping, could you talk to a human agent, please?",0
"you're not helping, talk to a human",0
"I can't understand you, how do I talk to someone?",0
"you arent helping, what do i have to do to speak with a person?",0
"I can't understand you, help me contact someone",0
you're not helping and I want to speak with someone,0
"you're not helping , I need help talking to someone",0
"u are not helping, talk to a human, please",0
"i cant understand you, can i contact a person?",0
how to talk to a human,0
"you're not helping, what can I do to talk to a human?",0
"you're not helping, I need help talking to a human agent",0
"u are not helping, how can i talk to a human?",0
"I don't understand you, what can I do to speak with someone?",0
"you're not helping, contact a human agent",0
"you aren't helping , can I talk to a person?",0
"I don't understand you, can you speak with someone?",0
"u are not helping, how do i contact a person?",0
"you're not helping, can I speak with a human?",0
"i dont understand you, could u contact a human agent?",0
"you aren't helping, what can I do to talk to a human?",0
"i cant understand you, can u talk to a human agent?",0
I don't understand you and I want to speak with a person,0
"you aren't helping, can I speak with a human agent?",0
"I can't understand you, I need help contacting a person",0
"I don't understand you, can I speak with someone?",0
speak with a human agent,0
talk to someone,0
"I don't understand you, what should I do to talk to a person?",0
"you aren't helping, what can I do to talk to someone?",0
"I do not understand you, can I speak with a person, please?",0
"you're not helping, I need help talking to a human",0
"you aren't gelping, what do I have to do to speak with someone?",0
"I can't understand you, can I contact a human?",0
"i dont understand you, what should i do to contact someone?",0
"I cannot understand you, could I speak with a human, please?",0
you're not helping and I want to contact someone,0
"you aren't helping , contact someone",0
"i dont understand you, can i contact a human agent?",0
how do I talk to a human agent?,0
"I don't understand you, can I talk to someone?",0
"you aren't helping, help me talk to a human agent",0
"u are not helping, how do i speak with someone?",0
"u are not helping, talk to a human agent",0
"I can't understand you, can I talk to someone?",0
"u are not helping and i want to talk to a human, please",0
talk to a person,0
"I do not understand you and I'd like to contact a human, please",0
I can't understand you and I'd like to contact someone,0
"I don't understand you, how do I speak with someone?",0
"you're not helping, how do I talk to a huamn?",0
can you speak with a person?,0
"you're not helping, what should I do to speak with a person?",0
isthere someone available?,0
"you're not helping, can you speak with someone?",0
i wanna speak with a human agent,0
speak with an person,0
"I can't understand you, what should I do to contact a human?",0
"youre not helping, what should i do to speak with a human agent?",0
"you arent helping, how can i talk to a human agent?",0
you aren't helping and I want to talk to a person,0
"you aren't helping, what should I do to contact a human?",0
"i cant understand you, contact a person",0
"i cant understand you, what do i have to do to talk to someone?",0
can i talk to someone?,0
"I don't understand you, I need help speaking with a person",0
how to talk to someone,0
how to speak with a person,0
"you're not helping, what should I do to contact a person?",0
"I can't understand you, how do I talk to a human?",0
how can I contact someone?,0
"you're not helping, contact an person",0
"you're not helping, could I contact a person, please?",0
"I can't understand you, can you speak with someone?",0
"I don't understand you, what should I do to speak with a human agent?",0
you aren't helping and I want to talk to a human agent,0
"I can't understand you, speak with a person",0
"I don't understand you, how can I speak with someone?",0
"i cant understand you, i need help speaking with a humanagent, please",0
"I don't understand you, how can I talk to someone?",0
"i cant understand you, can u contact a person?",0
you're not helping and I want to talk to a person,0
"i dont understand you, can ik contact someone?",0
"I can't understand you, how can I speak with a human agent?",0
"you aren't helping, hlp me talk to an person, please",0
"you aren't helping, talk to a human",0
"you're not helping, what should I do to speak with a human agent?",0
I don't understand you and I want to speak with a human agent,0
"I don't understand you, contact a person",0
"you aren't helping, acn I contact a human agent?",0
"I don't understand you, what should I do to contact a human ?",0
"I cannot understand you, I need help talking to fucking someone, please",0
"I do not understand you, I need help talking to a person",0
"you arent helping, speak with a person",0
"you arent helping, help me talk to a human agent",0
i cant understand you and i want to talk to a human agent,0
"you aren't helping, help me contact a person",0
"you're not helping, what do I have to do to contact a person?",0
"I don't understand you, how do I talk to a human agent?",0
i dont understand you and id like to speak with a fucking human agent,0
you aren't helping and I want to speak with someone,0
"I do not understand you, help me contact a fucking person, please",0
"I can't understand you, what shoupd I do to speak with a human agent?",0
can you contact a person?,0
"you aren't helpnig , I need help talking to a human",0
"I can't understand you, help me speak with a person",0
"I can't understand you, what do I have to do to speak with a human?",0
can you speak with omeone?,0
I don't understand you and I want to contact a person,0
"youre not helping, i need help talking to a human agent",0
u are not helping and i wanna talk to a human agent,0
"you aren't helping, how do I contact a human?",0
"I can't understand you, how do I speak with a human agent?",0
"youre not helping , what can i do to talk to a human?",0
"I don't understand you, can I talk to a person?",0
"I can't understand you, what can I do to speak with someone?",0
"you're not helping, how can I contact a human?",0
you're not helping and I want to contact a human,0
you aren't helping and I want to speak with a fucking human agent,0
"you aren't helping, can you talk to someone?",0
can u contact a fucking person?,0
"you aren't helping, I need help talking to a human agent",0
"I don't understand you, help me speak with a person",0
"you're not helping, can you speak with a human agent?",0
"i dont understand you, what should i do to talk to a person?",0
"you're not helping, what should I do to speak with a human?",0
"you're not helping, how can I talk to a human agent?",0
"cant understand you, help me speak with a human agent",0
"you're not helping, what can I do to contact a human agent ?",0
help me talk to a person,0
"you aren't helpinmg, can I talk to a human?",0
you're not helping and I want to contact a person,0
"I can't understand you, how can I speak with someone?",0
"I can't understand you, I need help contacting an human",0
"youre not helping, talk to fucking someone, pleased",0
I want to know if there is any human agent available,0
"i cant understand you, cotact a human",0
"you're not helping, how can I speak with someone?",0
"I can't understand you, help me talk to a fucking human, please",0
I don't understand you and I want to contact a human,0
"u are not helping, i need help contacting a human, please",0
"I don't understand you, how do I speak with a human agent?",0
"you aren't helping, how can I contact a human agent?",0
"I don't understand you, can I speak with a human agent?",0
"I don't understand you, can you talk to a human agent?",0
i cant understand you and id like to speak with a human,0
"you're not helping, how could I contact a fucking person?",0
"i cant understand you, can u speak with someone?",0
can I speak with a human?,0
"you aren't helping, how do I talk to a person?",0
how do I speak with a human?,0
"I can't understand you, contact a person",0
how can I speak with someone?,0
"you're not helping, how can I talk to a human?",0
"i dont understand you, i need help speaking with a human agent",0
"you're not helping, what can I do to speak with a person?",0
how to contact a human agent,0
i cant understand you and i want to talk to a uhman,0
contact someone,0
"you're not helping, can you contact a human?",0
"i cant understand you, can u contact a human?",0
"I do not understand you and I would like to contact fucking someone, please",0
"I can't understand you, can you talk to a person?",0
you aren't helping and I want to speak with a person,0
"I don't understand you, what should I do to contact someone?",0
"I don't understand you, talk ot a human agent",0
"you aren't helping, how can I speak with a human?",0
"I can't understand you, what do I have to do to speak with someone?",0
I can't understand you and I want to contact a human agent,0
how can I talk to someone?,0
how do I speak with a human agent?,0
i wanna know if theree is any human available,0
"I don't understand you , what do I have to do to talk to a person?",0
"you arent helping, what can i do to contact a person?",0
I need hepl contacting a person,0
"i dont understand you, what can i do to speak with a human?",0
"I can't understand you, what can I do to speak with a human?",0
I can't understand you,0
how do I contact a person?,0
"u are not helping, what can i do to contact someone?",0
"i cant understand you, can i speak with someone?",0
u are not helping and i want to talk to a person,0
"i dont understand you, how do i contact a human?",0
"you're not helping, what should I do to contact a human agent?",0
you are not helping and I'd like to contact a human agent,0
"i dot understand you, help me contact someone",0
"I don't understand you, what do I have to do to speak with a human?",0
"I don't understand you, speak with a person",0
"i cant understand you, can i talk to a person?",0
"you're not helping, what xhould I do to contact a human?",0
how to talk to a human agent,0
"I don't understand you, talk to a human",0
"I can't understand you, how do I speak with someone?",0
"i dont understand you, how can i speak with a person ?",0
i wanna know if there is someone available,0
"you're not helping, I need help contacting a human",0
"I don't understand you, what can I do to talk to a person?",0
"u are not helping, what should i do to contact a human agent?",0
"I cannot understand you and I would like to speak with fucking someone, please",0
"you're not helping, how do I talk to a human agent?",0
"you arent helping, can u contact a human ?",0
"you aren't helping, speak with a human",0
"i dont understand you, what can i do to speak with a human asgent?",0
"you're not helping, how can I speqk with a person?",0
"I can't understand you, how can I talk to a human?",0
I don't understand you and I want to contact someone,0
"you arent helping, could i talk to someone?",0
"you're not helping, what can I do to speak with a human?",0
can I contact a human agent?,0
"you're not helping, could I talk to a fucking human?",0
"I can't understand you, how can I contact a human agent?",0
you arent helping and i wanna talk to a human,0
help me talk to a human agent,0
"I don't understand you, how do I talk to someone?",0
"I can't understand you, can you talk to someone?",0
"youre not helping, how can i talk to a human?",0
"i cant understand you, what should i do to talk to a person?",0
"i cant understand you, what do i ahve to do to contact a human agent?",0
"I don't understand you, how can I contact someone?",0
"I can't understand you, I need help talking to a human",0
i cant understand you and i wanna talk to a person,0
"you arent helping and id like to speak with someone, please",0
"you aren't helping, what can I do to contact a person?",0
I can't understand you and I want to talk to a person,0
u are not helping,0
"youre not helping, what should i do to speak with a person?",0
"I don't understand you, what can I do to contact someone?",0
how can i talk to a person?,0
can you talk to somenoe?,0
"I can't understand you, help me speak with someone",0
"you aren't helping, how do I contact a human agent?",0
can you tell me if there is any human available?,0
I don't understand you and I want to talk to a person,0
"you're not helping, could I speak with a human agent?",0
"you aren't helping, help me speak with someone",0
"I do not understand you, can you speak with fucking someone?",0
how to contact someone,0
"you aren't helping, can I contact someone?",0
"u are not helping, what can i do to speak with someone?",0
how do I talk to someone?,0
"youre not helping, what should i do to contact a human?",0
"I can't understand you, what can I do to contact a human agent?",0
"u are not helping, can u contact a human agent?",0
"I don't understand you, I need help contacting a human agent",0
"i cant understand you, what should i do to speak with a human agent?",0
I don'r understand you and I'd like to contact a human agent,0
"I don't understand you, what can I do to contact a human agent?",0
"I don't understand you, how do I talk to a person?",0
"you aren't helping, how do I speak with someone?",0
"youre not helping, what can i do to talk to a human agent?",0
"I can't understand you, what should I do to contact a human agent?",0
"u are not helping, can u talk to a human agent?",0
i dont understand you and i want to talk to a human,0
"you aren't helping, what do I have to do to talk to someone?",0
"i dont understand you, what can i do to talk to a person?",0
"I don't understand you, what should I do to speak with a person?",0
"youre not helping, i need help talking to a human",0
"I don't understand you, can I speak with a person?",0
"you aren't helping, can you speak with a human agent?",0
i need help contacting a person,0
"I can't understand you, can you contact someone?",0
"you're not helping, talk to a person",0
"I don't understand you, what do I have to do to contact a human agent?",0
"youre not helping, can i speak with a human?",0
"you aren't helping, help me speak with an human",0
youre not helping and i wanna speak with someone,0
"you aren't helping, I need help talking to someone",0
"you're not helping, can I contact a person?",0
"you're not helping, talk to someone",0
"you arent helping and i want to contact a human agent, please",0
"you arent helping, can u contact a person?",0
"I can't understand you, what do I have to do to talk to a human?",0
"u are not helping, can i talk to a person?",0
"you're not helping, how do I contact someone?",0
talk to a human,0
"I don't understand you, can you talk to a petson?",0
"youre not helping, help me contact someone",0
"I don't understand you , I need help contacting a human",0
help me speak with someone,0
"you arent helping, how do i talk to someone?",0
how to speak with a fucking human agent,0
"you're not helping, I need help contacting someone",0
"u are not helping, can i contact someone?",0
"I can't understand you, what can I do to contact someone?",0
"i dont understand you and i want to contact a person, please",0
how can I contaact a human agent?,0
"I don't understand you, what should I do to speak with a human?",0
"you aren't helping, can you talk to a human agent?",0
"you are not helping, could I contact an human?",0
"i cant understand you, can u talk to someone?",0
"you aren't helping, I need help speaking with a human",0
"you're not helping, speak with a person",0
"i cat understand you, what should i do to speak with a fucking person?",0
u are not helping and i wanna talk to a human,0
"youre not helping, could u contact a person, please?",0
"I can't understand you, help me talk to a human agent",0
"I can't understand you, what do I have to do to contact a human?",0
"I don't understand you, how can I contact a human agent?",0
I want ot contact a person,0
"youre not helping, i need help speaking with someone",0
"I don't understand you, help me contact someone",0
"I can't understand you, can you contact a human?",0
"i cant understand you, what can i do to speak with a person?",0
could you tell me if there is someone available?,0
"youre not helping and i wanna speak with a human, please",0
"you aren't helping, can I talk to someone?",0
"you arent helping, what can i do to talk to someone?",0
"I don't understand you, can I talk to a human agent?",0
"I don't understand you, how do I contact a human ?",0
"I don't understand you, contact a human",0
"I can't understand you, can I contact someone?",0
I want toocontact someone,0
"I don't understand you, how can I talk to a person?",0
"youre not helping, what should i do to talk to a person?",0
"I can't understand you, what should I do to contact a person?",0
"you're not helping, speak with an human",0
how can I talk to a human?,0
"i dont understand you, could u contact someone, please?",0
"you aren't helping, what should I do to speak with a human agent?",0
"I do not understand you, could you talk to a person?",0
"i cant understand you, could u talk to a human agent?",0
"I can't understand you, help me talk to someone",0
"youre not helping, i need help talking to someone",0
"I can't understand you , I need help contacting someone",0
"u are not helping, what do i have to dp to speak with a person?",0
"you're not helping , can you speak with a person?",0
"I can't understand you, speak with a human",0
i ned help contacting a human,0
"you arent helping, help me contact a human agent",0
"I can't understand you, help me speak with a human",0
"you're not helping, talk to a human agent",0
"you aren't helping, I need help contacting someone",0
you're not helping,0
"i dont understand you, what can i do to contact a human agent?",0
"you're not helping, can you contact a person?",0
"i dont understand you, what should i do to talk to a human agent?",0
"you're noty helping, what can I do to talk to someone?",0
i dont understand you and id like to contact a person,0
"you arent helping, can i talk to a human agent?",0
"you're not helping, help me speak with a human",0
"I can't understand you, talk to a human agent",0
I can't understand you and I want to talk to someone,0
how can I speak with a human?,0
youre not helping and i wanna speak with a human,0
"i dont understand you, contact a human",0
"you're not helping, can I contact a human?",0
I would like to speak with fucking someone,0
"you're not helping, help me speak with someone",0
I can't understand you and I'd like to contact a fucking human agent,0
"you aren't helping, what should I do to contact someone?",0
"you arent helping, what should i do to speak with a person?",0
"I can't understand you, can I contact a person?",0
you're not helping and I want to talk to someone,0
you arent helping and i wanna talk to a human agent,0
youre not helping and i want to talk to someone,0
help me contact a human agent,0
"I don't understand you, how can I speak with a human?",0
"you're not helping, could I contact a human agent, please?",0
"i dont understand you, can i talk to a person?",0
how to talk to a person,0
"you're not helping, what can I do to contact a human?",0
"I don't understand you, I need help talking to a person",0
"i cant understand you, help me talk to a person",0
"I don't understand you, I need help talking to someone",0
can you tell me if there is any person available?,0
"you aren't helping, contact a person",0
i wanna speak with a person,0
"I don't understand you, help me talk to someone",0
ocntact a persn,0
how could i speak with a human agent?,0
"I can't understand you, how can I talk to someone?",0
"you arent helping, i need help contacting a person",0
can you talk to a human?,0
"you aren't helping, how do I contact a persin?",0
"you're not helping, how do I speak with a human?",0
"you're not helping, can you speak with a human?",0
"you aren't helping, how do I speak with a person?",0
"u are not helping, can u contact a human?",0
"you aren't helping, what shgould I do to talk to a human?",0
"you're not helping, what can I do to speak with a human agent?",0
can I talk to someone?,0
"I don't understand you, how can I speak with a human agent?",0
"u are not helping, how do i contact a human agent?",0
you arent helping and i want to speak with a human agent,0
"u are not helping, talk to a human",0
I don't understand you and I'd like to contact a human,0
"I can't understand you, how can I talk to a person?",0
"you raen't helping, how can I contact someone?",0
"I can't understand you, speak with someone",0
"I can't understand you, what do I have to do to contact a person?",0
"I don't understand you, help me talk to a human agent",0
tell me if their is someone available,0
talk to a human agent,0
"you're not helping, can I speak with someone?",0
"I don't understand you, what do I have to do to talk to a human agent?",0
"you aren't helping, how do I contact someone?",0
youre not helping and i wanna talk to a person,0
"you aren't helping, talk to someone",0
"you aren't helping, how do I talk to a human?",0
"I don't understand you, can you speak with a human agent?",0
"i dont understand you, help me speak with someone",0
u are not helping and i want to speak with someone,0
"you aren't helping, I need help talking to a person",0
i need help talking to a human agent,0
"u are not helping, help me speak with someone",0
could u contact a eprson?,0
"you arent helping, how can i talk to someone?",0
"u are not helping, how can i speak with a human agent?",0
"you're not helping, can I speak with a person?",0
"I don't understand you, what do I have to do to talk to someone?",0
I can't understand you and I want to contact a human,0
"you aren't helping , how can I talk to a human agent?",0
"I can't understand you, how do I contact a human?",0
you're not helping and I want to speak with a human agent,0
speak with someone,0
"you're not helping, can you talk to someone?",0
"you're not helping, what can I do to talk to a human agent?",0
I want to speak with someone,0
"I don't uderstand you, what do I have to do to talk to a human?",0
"you're not hepling , how can I speak with a human?",0
"I do not understand you, how do I contact a fucking person?",0
"you arent helping, what do i have to do to speak with a human?",0
"I do not jnderstand you and I would like to speak with someone , please",0
"I don't understand you, talk to a person",0
"you aren't helping, how do I speak with a human agent?",0
"you arent helping and id like to contact someone, please",0
"i dont understand you, how do i talk to someone?",0
"I can't understand you, how do I contact a human agent?",0
"i dont understand you, what do i have to do to talk to a human agent?",0
"you aren't helping, what can I do to contact a human?",0
I can't understand you and I want to talk to a human,0
you are not helping and I'd like to speak with a person,0
"you arent helping and i want to contact someone, please",0
you're not helping and I want to speak with a person,0
I can't understand you and I want to speak with someone,0
"you're not helping, what do I have to do to contact a human agent?",0
"i dont understand you, i need help talking to a person",0
"i cant understand you , how can i speak with a human?",0
"you're not hepling, could you contact a fucking human?",0
I don't understand you,0
"youre not helping, i need help speaking with a human",0
"i dnt understand you, speak with a human agent",0
"I don't understand you, what do I have to do to speak with a person?",0
"I can't understand you, how do I speak with a person?",0
"you aren't helping, contact a human",0
"I don't understand you, I need help speaking with a human agent",0
"I don't ujnderstand you, how can I contact a person ?",0
"i cant understand you , contact fucking someone",0
"i dont understand you, can i talk to a person, please?",0
can I speak with someone?,0
"I can't understand you, what can I do to talk to a person?",0
tell me if there is any human agent available,0
"you're not helping, what do I have to do to talk to someone?",0
I need help talking to someone,0
"u are not helping, what can i do to speak with a person?",0
"I can't unedrstand you, how do I contact someone?",0
"you arent helping, what should i do to talk to a human?",0
I need help contacting someone,0
"you're not helping, what should I do to contact someone?",0
you aren't helping and I want to contact a human agent,0
"u are not helping, what do i have to do to speak with a human agent?",0
how can I speak with a person?,0
"you're not helping, how can I contact a human agent?",0
you arent helping and i wanna contact a person,0
you aren't helping and I want to contact someone,0
youre not helping and i wanna talk to a human,0
"i cant understand you, how can i talk to someone?",0
how do I speak with a person?,0
I need help talking to a human agent,0
"I don't understand you, what should I do to talk to a human agent?",0
contact a human,0
"I can't understand you, can I talk to a person ?",0
"I can't understand you, can you contact a human agent?",0
"i dont understand you, how do i contact someone?",0
"I do not understand you, can I speak with a fucking person, please?",0
how can i talk to a human agent?,0
"I don't understand you, can I contact a human agent?",0
"youre not helping, speak with an human agent",0
"I don't understand you, can you contact a human?",0
"you're not helping, help me contact a person",0
"you aren't helping and I want to contact someone, please",0
"i cant understand you, what should i do to contact a human?",0
"you aren't helping, how can I speak with a person?",0
"I don't understand you, what can I do to speak with a human agent?",0
"you aren't helping, how do I talk to a human agent?",0
u are not helping and i wanna talk to someone,0
